age;job;marital;education;housing;loan;duration
47;management;divorced;university,degree;no;no;89
49;housemaid;married;basic,9y;no;no;152
32;admin,;single;high,school;no;no;611
50;blue-collar;married;basic,9y;no;no;463
34;services;married;high,school;no;no;962
55;blue-collar;married;basic,4y;no;no;102
47;technician;single;basic,9y;no;no;10
51;retired;married;professional,course;no;no;118
47;blue-collar;married;basic,6y;no;no;92
53;admin,;married;basic,9y;no;no;189
44;blue-collar;divorced;basic,6y;no;no;55
36;services;married;high,school;no;no;225
53;technician;divorced;professional,course;no;yes;206
47;self-employed;married;professional,course;no;no;446
49;blue-collar;divorced;high,school;no;yes;742
35;services;divorced;high,school;no;no;122
38;unknown;married;unknown;no;no;362
38;services;single;high,school;no;no;357
50;blue-collar;divorced;high,school;no;yes;200
59;retired;married;professional,course;no;no;107
46;blue-collar;married;unknown;no;no;209
27;admin,;single;university,degree;no;no;106
36;admin,;married;high,school;no;no;108
34;admin,;single;basic,9y;no;no;453
33;admin,;divorced;high,school;no;no;364
56;retired;married;basic,6y;no;no;136
42;blue-collar;married;basic,9y;no;no;173
42;technician;single;unknown;no;no;230
40;services;married;basic,6y;no;no;199
40;housemaid;single;professional,course;no;no;111
33;admin,;married;high,school;no;no;316
35;blue-collar;married;basic,9y;no;no;240
36;admin,;married;high,school;no;no;669
50;self-employed;single;university,degree;no;yes;88
41;management;married;university,degree;no;no;213
49;admin,;married;basic,9y;no;no;220
50;services;divorced;professional,course;no;no;680
57;blue-collar;married;basic,4y;no;no;164
48;blue-collar;married;basic,6y;no;no;174
55;technician;married;professional,course;no;no;113
38;management;married;university,degree;no;no;195
43;unemployed;single;university,degree;no;no;404
36;blue-collar;single;high,school;no;no;396
32;blue-collar;married;basic,9y;no;no;98
33;services;married;basic,4y;no;no;229
40;unemployed;divorced;high,school;no;no;88
36;technician;married;university,degree;no;no;210
57;admin,;divorced;basic,9y;no;no;306
56;management;divorced;high,school;no;no;218
37;blue-collar;married;basic,9y;no;no;77
37;blue-collar;married;basic,9y;no;yes;54
43;services;married;high,school;no;no;202
49;blue-collar;married;unknown;no;no;286
38;admin,;single;university,degree;no;no;189
33;admin,;married;basic,9y;no;no;83
30;blue-collar;single;unknown;no;no;184
34;management;single;university,degree;no;no;290
30;student;single;unknown;no;no;133
41;self-employed;married;university,degree;no;no;402
59;retired;unknown;university,degree;no;no;253
50;management;married;high,school;no;no;149
35;admin,;married;university,degree;no;no;144
42;admin,;married;high,school;no;no;69
45;admin,;married;basic,9y;no;no;243
36;technician;married;professional,course;no;no;769
56;services;married;high,school;no;no;135
29;blue-collar;divorced;basic,4y;no;no;231
42;blue-collar;married;basic,9y;no;no;199
52;services;single;high,school;no;no;455
36;blue-collar;married;basic,4y;no;no;43
52;services;divorced;basic,6y;no;no;393
36;services;married;high,school;no;yes;140
41;admin,;married;high,school;no;no;483
55;technician;married;basic,4y;no;yes;259
30;blue-collar;married;basic,9y;no;no;227
57;retired;unknown;basic,4y;no;no;673
47;admin,;married;high,school;no;no;505
43;entrepreneur;married;basic,4y;no;no;623
49;blue-collar;married;basic,4y;no;no;180
39;management;married;university,degree;no;no;496
49;blue-collar;married;basic,9y;no;no;102
58;management;married;basic,6y;no;no;342
31;services;married;high,school;no;no;276
43;self-employed;divorced;university,degree;no;no;87
43;self-employed;married;basic,9y;no;no;744
51;services;married;unknown;no;no;141
35;blue-collar;married;professional,course;no;no;241
47;admin,;divorced;university,degree;no;no;196
40;technician;married;professional,course;no;yes;264
26;housemaid;married;university,degree;no;no;246
32;blue-collar;divorced;basic,9y;no;no;309
34;admin,;married;basic,9y;no;no;175
47;blue-collar;married;unknown;no;no;136
42;technician;married;professional,course;no;no;1623
57;technician;married;basic,4y;no;yes;50
57;technician;married;basic,4y;no;no;101
38;blue-collar;married;basic,4y;no;yes;144
57;technician;married;basic,4y;no;no;238
60;management;married;university,degree;no;no;451
40;admin,;married;high,school;no;no;243
54;housemaid;married;basic,4y;no;no;262
40;blue-collar;married;basic,6y;no;yes;53
44;admin,;single;basic,9y;no;no;134
42;technician;divorced;high,school;no;no;204
32;services;married;high,school;no;no;162
39;management;married;basic,6y;no;no;27
42;management;married;university,degree;no;no;1677
31;admin,;divorced;high,school;no;no;47
57;blue-collar;divorced;basic,4y;no;no;30
44;blue-collar;married;basic,9y;no;no;472
59;unknown;married;unknown;no;no;113
39;blue-collar;married;basic,4y;no;no;114
57;retired;married;university,degree;no;no;116
41;management;married;unknown;no;no;448
37;technician;single;high,school;no;yes;264
42;retired;married;basic,4y;no;no;145
32;admin,;single;university,degree;no;no;215
45;housemaid;married;professional,course;no;no;188
41;unemployed;married;basic,9y;no;no;111
41;services;married;basic,9y;no;no;157
36;blue-collar;married;basic,9y;no;no;46
56;entrepreneur;married;university,degree;no;no;153
33;admin,;married;basic,9y;no;no;198
45;entrepreneur;married;university,degree;no;no;82
40;technician;single;university,degree;no;no;198
48;blue-collar;married;basic,4y;no;no;128
43;entrepreneur;married;high,school;no;no;166
52;blue-collar;married;basic,4y;no;no;371
42;blue-collar;married;unknown;no;no;288
42;admin,;married;unknown;no;no;221
38;blue-collar;married;basic,9y;no;no;310
39;blue-collar;married;basic,6y;no;no;198
38;admin,;married;high,school;no;no;145
30;services;single;high,school;no;no;102
39;technician;divorced;university,degree;no;no;73
44;admin,;married;high,school;no;no;263
36;admin,;married;high,school;no;no;342
41;blue-collar;married;basic,6y;no;no;13
35;blue-collar;married;basic,9y;no;no;79
41;technician;married;high,school;no;no;358
36;services;married;high,school;no;no;162
33;blue-collar;single;basic,4y;no;no;26
38;admin,;single;basic,6y;no;no;250
33;self-employed;married;university,degree;no;no;792
55;self-employed;married;unknown;no;no;146
36;blue-collar;single;basic,9y;no;no;440
57;technician;married;professional,course;no;yes;289
46;admin,;married;university,degree;no;no;268
35;admin,;divorced;high,school;no;yes;259
39;admin,;single;university,degree;no;no;424
39;blue-collar;married;basic,9y;no;no;375
42;entrepreneur;married;basic,6y;no;no;179
45;blue-collar;married;basic,4y;no;no;440
40;technician;married;basic,4y;no;yes;195
42;blue-collar;married;high,school;no;yes;1297
40;technician;married;basic,4y;no;no;217
38;blue-collar;single;basic,4y;no;no;87
41;blue-collar;married;basic,4y;no;no;189
45;admin,;married;university,degree;no;no;209
49;blue-collar;married;high,school;no;no;69
36;technician;married;unknown;no;no;105
23;admin,;single;university,degree;no;no;266
45;housemaid;married;high,school;no;no;352
42;admin,;married;high,school;no;no;695
41;admin,;divorced;high,school;no;no;76
32;services;married;high,school;no;yes;535
46;management;married;university,degree;no;no;310
37;blue-collar;married;unknown;no;no;390
53;management;married;university,degree;no;no;369
30;blue-collar;married;basic,4y;no;no;112
45;unknown;married;unknown;no;no;79
24;technician;single;professional,course;no;yes;140
45;unknown;married;unknown;no;no;315
34;admin,;single;university,degree;no;yes;262
41;management;married;university,degree;no;no;174
45;blue-collar;married;basic,4y;no;no;135
54;blue-collar;married;basic,6y;no;no;36
32;technician;married;professional,course;no;no;1906
32;admin,;married;university,degree;no;no;135
46;management;married;university,degree;no;no;407
42;technician;married;basic,9y;no;no;209
34;services;married;high,school;no;no;193
48;blue-collar;married;basic,9y;no;no;284
47;blue-collar;married;basic,9y;no;no;285
31;services;married;high,school;no;no;231
32;admin,;single;university,degree;no;no;389
36;services;married;high,school;no;no;158
53;blue-collar;married;basic,4y;no;yes;78
37;blue-collar;married;basic,9y;no;no;258
50;services;married;high,school;no;no;87
41;admin,;married;high,school;no;no;635
43;blue-collar;single;basic,4y;no;no;289
39;services;married;high,school;no;no;218
52;blue-collar;married;basic,4y;no;no;57
47;technician;married;professional,course;no;no;79
35;technician;married;professional,course;no;no;262
38;services;married;high,school;no;no;392
30;technician;married;professional,course;no;no;252
35;services;single;basic,4y;no;no;329
40;technician;married;professional,course;no;no;191
34;technician;married;university,degree;no;no;116
30;admin,;single;university,degree;no;no;246
38;services;married;basic,6y;no;no;532
55;management;single;basic,4y;no;no;293
32;admin,;single;university,degree;no;no;530
36;technician;single;professional,course;no;no;211
33;housemaid;divorced;university,degree;no;no;392
37;blue-collar;married;high,school;no;no;191
33;blue-collar;married;high,school;no;no;328
32;housemaid;married;high,school;no;no;226
39;blue-collar;married;basic,9y;no;yes;333
33;services;married;high,school;no;no;322
33;services;married;basic,4y;no;no;202
56;management;married;university,degree;no;yes;92
33;self-employed;single;university,degree;no;no;739
59;retired;divorced;basic,4y;no;no;273
43;services;married;high,school;no;yes;262
27;technician;married;basic,9y;no;yes;245
31;admin,;single;university,degree;no;no;189
54;admin,;married;high,school;no;no;65
56;management;married;university,degree;no;no;191
46;admin,;married;high,school;no;yes;197
43;admin,;married;professional,course;no;yes;221
40;admin,;single;high,school;no;no;64
47;entrepreneur;married;professional,course;no;no;400
48;technician;married;basic,4y;no;no;118
36;self-employed;married;university,degree;no;no;346
46;services;married;high,school;no;no;60
33;management;single;university,degree;no;no;125
49;services;married;high,school;no;no;296
42;blue-collar;married;basic,4y;no;no;114
49;housemaid;married;basic,4y;no;no;283
40;entrepreneur;married;basic,9y;no;no;109
59;admin,;married;university,degree;no;no;132
52;self-employed;married;university,degree;no;no;31
51;admin,;married;university,degree;no;no;87
57;management;married;university,degree;no;no;190
35;student;single;university,degree;no;no;172
30;admin,;married;university,degree;no;no;178
43;services;married;high,school;no;no;174
40;technician;married;basic,9y;no;no;631
45;technician;married;university,degree;no;no;152
56;retired;married;high,school;no;no;176
46;services;married;basic,6y;no;no;32
56;blue-collar;married;basic,4y;no;no;214
34;blue-collar;married;basic,4y;no;no;800
40;technician;married;basic,9y;no;no;135
38;admin,;married;high,school;no;no;112
24;technician;single;professional,course;no;no;421
48;blue-collar;married;professional,course;no;no;207
41;technician;single;university,degree;no;no;160
56;retired;married;basic,4y;no;no;55
49;admin,;married;high,school;no;no;157
47;unemployed;divorced;university,degree;no;no;303
48;admin,;divorced;high,school;no;no;233
46;blue-collar;married;basic,9y;no;yes;329
29;admin,;single;university,degree;no;no;122
30;services;divorced;basic,9y;no;yes;126
60;blue-collar;married;professional,course;no;no;59
32;services;married;high,school;no;no;190
39;blue-collar;married;basic,4y;no;no;169
46;blue-collar;married;basic,4y;no;no;117
43;unemployed;married;basic,4y;no;no;275
30;technician;married;university,degree;no;no;118
38;technician;married;professional,course;no;no;479
44;admin,;married;university,degree;no;no;322
44;self-employed;married;university,degree;no;no;202
30;student;single;high,school;no;no;216
43;technician;married;professional,course;no;no;720
38;housemaid;married;basic,9y;no;no;92
38;blue-collar;single;unknown;no;yes;70
30;services;married;high,school;no;no;629
36;technician;divorced;professional,course;no;no;446
50;self-employed;married;university,degree;no;no;312
58;admin,;married;basic,4y;no;yes;120
33;blue-collar;single;basic,9y;no;no;113
31;management;married;high,school;no;no;296
40;entrepreneur;married;basic,9y;no;no;128
28;unknown;single;basic,9y;no;no;298
44;blue-collar;single;high,school;no;no;292
47;services;divorced;high,school;no;no;421
35;entrepreneur;single;professional,course;no;no;268
42;admin,;divorced;university,degree;no;no;232
36;admin,;married;high,school;no;no;152
35;technician;married;basic,6y;no;no;104
26;admin,;single;high,school;no;no;416
57;self-employed;single;high,school;no;no;139
39;services;married;high,school;no;no;193
50;admin,;married;university,degree;no;no;102
39;blue-collar;divorced;basic,9y;no;no;143
31;admin,;single;university,degree;no;no;992
31;admin,;married;university,degree;no;no;168
28;blue-collar;married;basic,6y;no;no;250
30;management;divorced;high,school;no;yes;149
37;technician;divorced;professional,course;no;no;374
44;admin,;married;high,school;no;no;83
45;blue-collar;married;basic,9y;no;no;121
38;technician;married;professional,course;no;no;216
24;services;single;high,school;no;no;111
31;blue-collar;married;basic,6y;no;no;109
38;admin,;married;university,degree;no;no;241
42;blue-collar;married;basic,6y;no;no;123
42;blue-collar;married;basic,6y;no;no;287
42;admin,;single;unknown;no;no;126
43;technician;single;university,degree;no;no;336
43;unknown;married;high,school;no;no;463
54;admin,;married;university,degree;no;no;388
36;technician;married;professional,course;no;no;221
30;admin,;single;university,degree;no;no;25
39;blue-collar;married;basic,6y;no;no;104
33;blue-collar;married;basic,9y;no;no;283
38;technician;single;professional,course;no;no;127
37;blue-collar;married;basic,6y;no;no;221
32;management;married;basic,6y;no;no;150
52;technician;married;basic,4y;no;no;161
46;blue-collar;married;basic,6y;no;no;401
52;technician;married;basic,4y;no;yes;388
32;technician;single;professional,course;no;no;245
31;blue-collar;single;basic,9y;no;no;143
46;admin,;divorced;basic,9y;no;no;423
59;services;divorced;high,school;no;no;231
38;blue-collar;married;unknown;no;yes;181
40;blue-collar;married;basic,4y;no;no;227
46;admin,;married;professional,course;no;no;69
35;admin,;single;high,school;no;no;799
28;blue-collar;married;basic,9y;no;yes;109
48;entrepreneur;married;basic,9y;no;no;444
38;blue-collar;married;basic,9y;no;no;101
48;admin,;married;basic,9y;no;no;19
42;services;divorced;high,school;no;no;117
55;blue-collar;married;basic,4y;no;no;1581
42;services;divorced;high,school;no;no;185
44;admin,;married;university,degree;no;no;202
51;blue-collar;married;basic,9y;no;no;279
41;services;divorced;high,school;no;yes;516
46;management;married;basic,9y;no;no;617
36;housemaid;divorced;basic,9y;no;no;179
29;technician;married;professional,course;no;no;125
47;services;married;unknown;no;no;262
38;blue-collar;single;basic,9y;no;no;294
29;services;married;high,school;no;no;614
58;unknown;married;unknown;no;no;118
48;blue-collar;married;professional,course;no;yes;485
46;blue-collar;married;basic,9y;no;no;406
47;services;married;unknown;no;no;216
38;unemployed;divorced;professional,course;no;no;590
33;admin,;married;university,degree;no;no;55
32;entrepreneur;divorced;university,degree;no;no;96
48;blue-collar;married;high,school;no;no;144
35;admin,;single;university,degree;no;no;559
48;management;divorced;university,degree;no;no;236
46;admin,;divorced;university,degree;no;no;93
51;unemployed;married;professional,course;no;no;912
37;admin,;married;university,degree;no;no;209
54;housemaid;divorced;basic,4y;no;no;485
39;blue-collar;married;basic,9y;no;no;311
39;technician;single;basic,6y;no;no;362
39;services;married;basic,9y;no;no;274
30;services;married;unknown;no;no;143
34;entrepreneur;married;basic,4y;no;no;214
34;technician;married;high,school;no;no;1062
38;blue-collar;divorced;unknown;no;no;258
57;self-employed;single;high,school;no;no;688
44;blue-collar;married;basic,9y;no;no;103
51;management;married;university,degree;no;no;194
28;admin,;single;university,degree;no;no;126
50;technician;married;high,school;no;no;224
51;entrepreneur;married;university,degree;no;no;98
38;blue-collar;single;basic,9y;no;no;252
35;admin,;single;basic,4y;no;no;331
32;admin,;single;high,school;no;no;103
35;admin,;single;basic,4y;no;no;803
44;technician;married;professional,course;no;no;203
43;technician;married;professional,course;no;no;96
40;management;married;high,school;no;no;238
37;blue-collar;single;basic,9y;no;no;119
58;admin,;married;high,school;no;yes;152
32;blue-collar;married;basic,4y;no;no;421
30;services;married;high,school;no;yes;198
44;management;married;university,degree;no;no;51
30;services;married;professional,course;no;no;257
45;blue-collar;single;high,school;no;yes;278
35;blue-collar;married;professional,course;no;no;306
57;retired;divorced;high,school;no;no;114
41;technician;single;university,degree;no;no;79
42;services;married;high,school;no;no;169
42;blue-collar;married;basic,4y;no;no;332
39;blue-collar;married;basic,6y;no;no;108
44;services;married;basic,6y;no;no;266
49;services;married;high,school;no;no;105
44;admin,;married;high,school;no;no;228
47;management;married;university,degree;no;no;550
43;management;married;professional,course;no;no;764
32;management;divorced;basic,4y;no;no;396
32;housemaid;married;basic,4y;no;no;110
56;retired;married;basic,4y;no;no;134
40;blue-collar;married;basic,9y;no;no;112
57;management;divorced;university,degree;no;no;283
51;blue-collar;married;basic,4y;no;no;353
31;technician;married;professional,course;no;no;212
31;admin,;married;university,degree;no;no;225
60;services;married;unknown;no;no;283
44;entrepreneur;married;basic,4y;no;no;1574
34;blue-collar;single;high,school;no;yes;256
51;admin,;married;basic,6y;no;no;193
47;technician;divorced;professional,course;no;no;348
51;admin,;married;university,degree;no;no;299
26;blue-collar;married;basic,9y;no;no;73
42;services;married;high,school;no;no;191
38;blue-collar;married;basic,4y;no;no;548
51;services;divorced;basic,6y;no;yes;114
36;blue-collar;married;basic,9y;no;no;66
33;technician;married;professional,course;no;no;123
30;blue-collar;married;basic,6y;no;no;275
34;management;married;university,degree;no;no;984
54;admin,;divorced;university,degree;no;no;1689
41;entrepreneur;married;university,degree;no;no;130
35;admin,;married;university,degree;no;no;41
34;blue-collar;single;basic,9y;no;no;159
31;blue-collar;married;basic,9y;no;no;196
59;retired;married;basic,4y;no;no;81
37;management;married;high,school;no;no;149
34;services;married;high,school;no;no;122
32;admin,;married;university,degree;no;no;361
43;unknown;married;high,school;no;no;35
43;blue-collar;married;basic,4y;no;no;143
52;blue-collar;married;basic,9y;no;no;22
35;blue-collar;married;basic,6y;no;no;404
35;admin,;single;basic,4y;no;no;309
45;blue-collar;married;basic,9y;no;no;408
38;entrepreneur;married;basic,9y;no;no;157
44;blue-collar;married;basic,4y;no;no;374
45;blue-collar;married;basic,9y;no;no;31
59;retired;married;university,degree;no;no;425
50;blue-collar;married;basic,9y;no;no;77
46;blue-collar;married;professional,course;no;no;116
30;admin,;single;high,school;no;no;308
28;services;single;high,school;no;no;137
58;admin,;married;university,degree;no;yes;162
43;blue-collar;married;basic,4y;no;no;134
25;services;married;professional,course;no;no;125
39;admin,;single;unknown;no;no;211
43;admin,;married;high,school;no;no;196
33;admin,;single;university,degree;no;no;342
52;unknown;married;basic,4y;no;no;156
53;blue-collar;married;basic,4y;no;no;178
41;housemaid;married;basic,6y;no;no;142
40;admin,;single;high,school;no;yes;110
53;blue-collar;married;high,school;no;yes;109
55;admin,;married;high,school;no;no;94
39;technician;married;professional,course;no;no;31
35;blue-collar;married;basic,9y;no;yes;220
50;housemaid;divorced;basic,4y;no;no;489
38;services;divorced;basic,6y;no;no;180
41;unemployed;married;basic,9y;no;no;314
44;technician;married;professional,course;no;no;203
39;admin,;married;basic,6y;no;no;328
44;unknown;married;basic,6y;no;no;207
51;technician;married;professional,course;no;yes;193
31;technician;married;professional,course;no;no;528
38;self-employed;single;university,degree;no;no;238
48;blue-collar;married;basic,6y;no;yes;61
32;admin,;married;high,school;no;no;70
49;housemaid;married;basic,4y;no;no;41
28;blue-collar;married;basic,6y;no;no;149
28;blue-collar;married;basic,6y;no;no;262
30;technician;married;professional,course;no;no;65
34;blue-collar;single;basic,4y;no;no;380
41;management;married;university,degree;no;no;184
40;blue-collar;married;basic,6y;no;no;405
46;blue-collar;married;basic,4y;no;no;202
32;management;single;university,degree;no;no;75
34;admin,;married;university,degree;no;no;134
28;admin,;single;professional,course;no;no;462
30;services;married;high,school;no;no;80
40;technician;married;university,degree;no;no;66
30;housemaid;married;high,school;no;no;159
40;blue-collar;married;basic,9y;no;no;129
30;housemaid;married;high,school;no;no;200
36;blue-collar;married;basic,6y;no;no;166
29;unemployed;single;university,degree;no;no;144
43;blue-collar;married;basic,9y;no;no;323
35;services;married;high,school;no;no;194
35;unknown;single;basic,4y;no;no;82
48;blue-collar;divorced;basic,4y;no;no;521
49;technician;married;professional,course;no;no;269
44;blue-collar;married;basic,6y;no;yes;285
32;blue-collar;married;professional,course;no;no;1119
55;admin,;married;high,school;no;no;294
41;admin,;married;basic,4y;no;yes;106
27;student;single;high,school;no;no;158
45;services;married;basic,9y;no;no;187
36;blue-collar;married;high,school;no;no;268
54;technician;married;basic,9y;no;no;193
48;admin,;married;high,school;no;yes;95
32;blue-collar;married;basic,6y;no;no;60
33;management;married;university,degree;no;yes;206
43;blue-collar;married;basic,4y;no;no;155
44;technician;single;high,school;no;no;216
50;technician;married;professional,course;no;no;103
32;student;single;university,degree;no;no;107
43;blue-collar;married;basic,4y;no;no;190
32;technician;married;university,degree;no;yes;141
52;housemaid;married;basic,4y;no;no;249
39;blue-collar;married;basic,6y;no;no;124
39;blue-collar;married;basic,6y;no;no;124
36;admin,;divorced;university,degree;no;no;33
39;blue-collar;married;basic,6y;no;no;393
31;admin,;married;high,school;no;no;784
35;unknown;married;basic,9y;no;no;108
55;retired;married;university,degree;no;no;207
38;entrepreneur;married;basic,6y;no;no;229
44;technician;divorced;high,school;no;no;21
32;admin,;married;basic,6y;no;no;93
51;blue-collar;married;basic,4y;no;no;665
28;admin,;single;university,degree;no;no;131
45;blue-collar;married;basic,4y;no;yes;111
37;unemployed;married;professional,course;no;no;140
37;unemployed;married;professional,course;no;yes;110
34;admin,;single;high,school;no;no;63
31;blue-collar;married;basic,9y;no;no;362
38;unemployed;married;high,school;no;yes;446
30;admin,;divorced;university,degree;no;no;249
39;management;married;university,degree;no;no;1007
48;blue-collar;married;basic,4y;no;no;172
32;services;married;high,school;no;no;175
37;technician;single;university,degree;no;no;500
26;services;divorced;basic,6y;no;no;186
33;management;married;high,school;no;no;96
45;admin,;married;university,degree;no;no;319
54;admin,;married;university,degree;no;no;513
37;blue-collar;married;basic,4y;no;yes;280
35;blue-collar;married;basic,9y;no;no;170
49;technician;married;professional,course;no;no;63
43;entrepreneur;married;university,degree;no;no;177
39;blue-collar;married;basic,6y;no;no;108
30;services;divorced;high,school;no;no;366
43;blue-collar;married;basic,6y;no;no;468
37;blue-collar;married;professional,course;no;no;195
42;blue-collar;married;basic,6y;no;no;352
36;management;single;basic,6y;no;no;218
43;services;married;high,school;no;no;130
28;blue-collar;married;basic,6y;no;no;208
31;blue-collar;married;basic,9y;no;no;101
38;entrepreneur;married;university,degree;no;no;166
50;unemployed;married;professional,course;no;no;189
54;entrepreneur;married;basic,4y;no;yes;108
33;management;married;university,degree;no;no;178
20;entrepreneur;single;high,school;no;no;238
25;blue-collar;married;high,school;no;no;250
27;blue-collar;married;basic,9y;no;no;44
25;technician;single;professional,course;no;no;22
36;blue-collar;single;basic,6y;no;no;989
36;blue-collar;married;basic,9y;no;no;147
27;blue-collar;married;basic,9y;no;yes;1170
43;blue-collar;married;basic,4y;no;no;534
29;services;single;basic,9y;no;no;159
35;blue-collar;married;basic,9y;no;no;343
35;unknown;married;basic,9y;no;no;461
36;admin,;married;high,school;no;no;90
48;admin,;married;high,school;no;no;314
38;blue-collar;single;basic,4y;no;no;28
38;blue-collar;single;basic,9y;no;no;30
35;technician;married;professional,course;no;yes;32
42;services;married;high,school;no;yes;252
56;blue-collar;married;basic,4y;no;no;20
30;technician;married;professional,course;no;no;369
39;services;single;high,school;no;no;302
36;blue-collar;married;basic,6y;no;no;31
32;admin,;married;university,degree;no;yes;190
29;admin,;single;high,school;no;no;149
34;blue-collar;married;basic,9y;no;no;210
36;self-employed;single;basic,6y;no;no;180
33;management;married;high,school;no;no;234
43;unemployed;married;basic,4y;no;no;92
