Year,WHO region,Country,Display Value
1985,South-East Asia,Sri Lanka,0
1985,Europe,Lithuania,
1984,Africa,Mauritius,1.74
1986,Europe,United Kingdom of Great Britain and Northern Ireland,6.73
1989,Eastern Mediterranean,Iran (Islamic Republic of),0
1985,Eastern Mediterranean,Djibouti,0.5
1987,Americas,Nicaragua,2.75
1984,Eastern Mediterranean,Libya,0
1989,Africa,Lesotho,0.36
1989,Africa,Gabon,6.49
1989,Africa,Comoros,0.09
1986,Americas,Dominican Republic,1.24
1987,Africa,Lesotho,0.75
1986,South-East Asia,Indonesia,0.03
1987,Africa,Congo,0.01
1984,South-East Asia,Sri Lanka,0.25
1986,Western Pacific,Australia,3.34
1986,Europe,Norway,1.61
1987,Africa,Democratic Republic of the Congo,0.59
1987,South-East Asia,Indonesia,0.03
1985,Americas,Bahamas,1.9
1987,Western Pacific,China,0
1984,Americas,Suriname,0
1986,Americas,Bahamas,0.03
1984,Africa,Lesotho,1.22
1985,Eastern Mediterranean,Morocco,0.25
1987,Europe,Malta,2.36
1989,Africa,Malawi,0.2
1989,Europe,Italy,1.32
1984,Europe,Belarus,
1985,Africa,Zambia,0.05
1984,Western Pacific,New Zealand,2.3
1986,Africa,Algeria,0.1
1987,Western Pacific,Solomon Islands,0.58
1989,Europe,Denmark,1.65
1989,Americas,Nicaragua,1.79
1989,Americas,Canada,1.27
1986,Western Pacific,Micronesia (Federated States of),0
1984,Africa,Cameroon,0.08
1984,Americas,Trinidad and Tobago,3.82
1985,Europe,Turkey,0
1989,Africa,Zambia,0
1986,Western Pacific,Samoa,0
1987,Americas,Colombia,4.36
1989,Americas,Peru,1.89
1984,Americas,Jamaica,0
1986,South-East Asia,Bangladesh,0
1989,Africa,Botswana,1.75
1989,Eastern Mediterranean,Kuwait,0
1989,Europe,Russian Federation,0.52
1986,Eastern Mediterranean,Pakistan,0.01
1986,Eastern Mediterranean,Pakistan,0
1989,Western Pacific,New Zealand,0.03
1987,Eastern Mediterranean,United Arab Emirates,0.21
1986,Africa,Equatorial Guinea,0
1985,Africa,Gabon,8.33
1986,Africa,Senegal,0.02
1987,Europe,Kyrgyzstan,0.71
1984,Africa,Comoros,
1989,Americas,Uruguay,3.72
1985,Americas,Argentina,0
1985,Africa,Madagascar,0.19
1984,Europe,Netherlands,0
1987,Eastern Mediterranean,Morocco,0
1984,Eastern Mediterranean,Oman,0
1989,Americas,Bolivia (Plurinational State of),1.71
1989,Western Pacific,Fiji,0.13
1984,Americas,Colombia,0
1987,Western Pacific,Kiribati,0.49
1984,South-East Asia,Bangladesh,0
1984,Western Pacific,Mongolia,0
1989,Africa,Liberia,5.16
1984,Eastern Mediterranean,Somalia,0
1987,Western Pacific,Kiribati,0.11
1984,Africa,Senegal,0.05
1984,South-East Asia,Bhutan,0
1986,Eastern Mediterranean,Qatar,1.98
1985,Africa,Uganda,0
1984,Europe,Albania,0.9
1987,South-East Asia,Nepal,0
1987,South-East Asia,Bangladesh,0
1987,Western Pacific,Malaysia,0.03
1986,Eastern Mediterranean,Tunisia,0.19
1989,Europe,Israel,0.87
1989,Africa,Cte d'Ivoire,0.33
1987,Europe,Latvia,0
1985,Eastern Mediterranean,Pakistan,0.01
1985,Western Pacific,Australia,7.73
1984,Western Pacific,Kiribati,0
1987,Europe,Cyprus,0
1985,Americas,Haiti,0
1987,Europe,Belarus,
1985,Western Pacific,China,1.84
1986,Europe,Kyrgyzstan,2
1985,Europe,Portugal,10.9
1985,South-East Asia,Bangladesh,0
1987,Africa,Sierra Leone,0.02
1989,Americas,Suriname,0
1985,Africa,Zambia,0.97
1986,Americas,Costa Rica,0.07
1986,Western Pacific,Lao People's Democratic Republic,0
1987,Western Pacific,Fiji,1.51
1986,Africa,Swaziland,0
1986,Western Pacific,Samoa,1.51
1989,Europe,Spain,0
1989,Africa,South Africa,1.8
1986,Africa,Chad,0.01
1985,Western Pacific,Republic of Korea,7
1985,Americas,Haiti,0
1987,Africa,Liberia,0.46
1986,Africa,Gabon,5
1985,Western Pacific,Philippines,1.62
1987,Western Pacific,Fiji,0.11
1987,Americas,Venezuela (Bolivarian Republic of),
1984,Americas,Canada,5
1986,Europe,Portugal,3
1986,Africa,Mauritania,0
1985,Africa,Sao Tome and Principe,0
1984,Americas,Guyana,0
1987,Western Pacific,Mongolia,0
1986,Europe,Albania,0.57
1984,South-East Asia,Democratic People's Republic of Korea,2.96
1985,Africa,Namibia,0.27
1984,Europe,Slovenia,0
1989,Eastern Mediterranean,Morocco,0.33
1986,Europe,Italy,1.48
1985,Western Pacific,Micronesia (Federated States of),0
1984,Eastern Mediterranean,Qatar,0
1985,Americas,Honduras,0.94
1984,Eastern Mediterranean,Morocco,0.02
1987,Americas,Haiti,5.09
1985,Europe,Poland,
1987,Africa,Liberia,4.39
1987,Eastern Mediterranean,Pakistan,0
1984,Americas,Paraguay,4.91
1985,Africa,Liberia,
1985,Eastern Mediterranean,Bahrain,0
1984,Western Pacific,Japan,0.09
1985,Africa,Kenya,1.34
1986,South-East Asia,Thailand,0
1986,Africa,Mauritius,0.11
1985,Africa,Sao Tome and Principe,0
1989,Americas,Venezuela (Bolivarian Republic of),0.08
1984,South-East Asia,Nepal,0
1985,Africa,Benin,0
1989,Eastern Mediterranean,Egypt,0.01
1987,Africa,Malawi,0.01
1987,Eastern Mediterranean,Afghanistan,0
1984,Europe,Russian Federation,4.77
1984,Western Pacific,Cambodia,0
1984,Americas,Peru,0.11
1984,Americas,El Salvador,
1987,Europe,Ireland,0.65
1986,Africa,Mozambique,0.18
1984,Africa,Zambia,1.9
1987,Africa,Ethiopia,0.54
1985,Eastern Mediterranean,Libya,0
1989,Africa,Zambia,0.2
1985,Europe,Bulgaria,4.08
1989,Africa,Ethiopia,0.09
1987,Eastern Mediterranean,United Arab Emirates,4.54
1986,Africa,Ghana,0.02
1984,Africa,Eritrea,0
1987,Africa,Guinea,
1985,Europe,Italy,1.37
1989,South-East Asia,Bhutan,
1986,Europe,Denmark,
1987,Western Pacific,Singapore,0.06
1989,Americas,Chile,1.63
1984,Americas,Ecuador,0.02
1987,Western Pacific,Japan,2.81
1989,Europe,Kyrgyzstan,0
1987,Europe,Czech Republic,
1987,Africa,Mali,0
1989,Americas,Bolivia (Plurinational State of),0
1984,Western Pacific,Cambodia,0.3
1987,Western Pacific,Samoa,0.01
1985,South-East Asia,Myanmar,0.29
1989,Western Pacific,Cambodia,
1985,Americas,Mexico,0.06
1985,Europe,Lithuania,
1985,Americas,Argentina,1.45
1986,Americas,Uruguay,3.3
1986,Africa,Niger,0.01
1985,Europe,Romania,2.65
1985,Americas,Venezuela (Bolivarian Republic of),0.14
1985,Africa,Eritrea,0
1987,Eastern Mediterranean,Saudi Arabia,0
1984,Eastern Mediterranean,Iran (Islamic Republic of),0
1987,Europe,Russian Federation,1.18
1987,Africa,Guinea,0.08
1985,Eastern Mediterranean,Syrian Arab Republic,0.15
1986,Africa,Angola,0.9
1986,Europe,Finland,0.88
1986,Africa,Zambia,0.02
1989,Europe,Greece,3.56
1984,Americas,Uruguay,4.42
1987,Americas,Guatemala,1.95
1989,Africa,Mali,0.01
1985,Western Pacific,Brunei Darussalam,0.48
1987,Africa,Kenya,0
1987,Western Pacific,Vanuatu,0.67
1986,Eastern Mediterranean,Morocco,0.35
1989,South-East Asia,Nepal,0
1987,Africa,Democratic Republic of the Congo,1.75
1985,Western Pacific,Viet Nam,0.12
1984,Western Pacific,Solomon Islands,0.04
1984,Europe,Cyprus,0
1985,Western Pacific,Solomon Islands,1.01
1986,Western Pacific,Singapore,0.07
1985,Western Pacific,New Zealand,7.58
1987,Europe,Slovakia,0
1987,Americas,Belize,0.18
1989,Americas,Jamaica,0.06
1989,Western Pacific,Kiribati,0.06
1989,Americas,Dominican Republic,0.04
1987,Eastern Mediterranean,Lebanon,2.61
1985,Eastern Mediterranean,Saudi Arabia,0.25
1987,Americas,Bahamas,7.86
1984,Europe,United Kingdom of Great Britain and Northern Ireland,0
1985,Africa,Mauritius,0.05
1989,Western Pacific,Vanuatu,0.65
1984,Americas,Guyana,0
1984,Eastern Mediterranean,Pakistan,0
1987,Africa,Cte d'Ivoire,0.97
1984,Eastern Mediterranean,Djibouti,0.45
1985,Americas,Panama,2.09
1989,Western Pacific,Solomon Islands,0.04
1984,Africa,Mozambique,0.01
1984,Western Pacific,New Zealand,7.72
1985,Americas,Dominican Republic,0
1989,Europe,Croatia,2.87
1985,Western Pacific,Papua New Guinea,0
1985,Europe,Cyprus,3.21
1987,South-East Asia,Bhutan,0
1985,Africa,Swaziland,1.03
1987,Europe,Netherlands,5.18
1984,Europe,Austria,1.9
1985,Africa,Gabon,
1987,Eastern Mediterranean,Oman,0.26
1989,Americas,Uruguay,1.45
1989,Eastern Mediterranean,Libya,0
1989,Eastern Mediterranean,Saudi Arabia,0
1985,Africa,Equatorial Guinea,0
1985,Europe,Cyprus,0
1984,Eastern Mediterranean,Bahrain,0.56
1984,Americas,Bolivia (Plurinational State of),0.09
1989,Americas,Suriname,2.1
1987,South-East Asia,India,0
1987,Europe,Germany,
1984,Eastern Mediterranean,Syrian Arab Republic,0.14
1984,Americas,El Salvador,0.04
1984,Africa,Democratic Republic of the Congo,1.83
1985,South-East Asia,Myanmar,0
1985,Africa,Eritrea,0.39
1986,Americas,Costa Rica,0
1985,Africa,Congo,0.26
1986,Europe,Germany,8.68
1984,Americas,Suriname,2.95
1987,Eastern Mediterranean,Yemen,0
1989,Americas,Costa Rica,0.1
1987,Africa,Swaziland,1.32
1985,South-East Asia,Sri Lanka,0
1985,South-East Asia,Democratic People's Republic of Korea,
1989,Europe,Ukraine,1.65
1989,Africa,Zambia,2.16
1984,Europe,Austria,5.1
1985,Americas,Cuba,2.22
1987,Western Pacific,Solomon Islands,0.06
1987,Europe,Lithuania,
1987,Europe,Austria,6.9
1986,Europe,Luxembourg,6.97
1985,Americas,Cuba,
1985,Americas,Paraguay,0.36
1989,Europe,Denmark,2.55
1987,Americas,Belize,1.41
1986,South-East Asia,Nepal,0.01
1986,Africa,United Republic of Tanzania,0.25
1987,Americas,El Salvador,
1989,Western Pacific,Vanuatu,0.54
1984,Africa,Burkina Faso,2.93
1986,Eastern Mediterranean,Yemen,0
1987,Americas,Haiti,0.01
1984,Americas,Costa Rica,0.01
1989,Africa,Eritrea,0.21
1987,Western Pacific,Singapore,0.64
1986,Eastern Mediterranean,Tunisia,0.38
1986,Eastern Mediterranean,Iraq,0.45
1987,Americas,Dominican Republic,1.32
1986,Eastern Mediterranean,Saudi Arabia,0.01
1989,Europe,Switzerland,4.17
1985,Africa,South Africa,1.73
1985,Africa,United Republic of Tanzania,7.8
1984,Africa,Chad,0.04
1986,Africa,Burundi,0
1984,Africa,Namibia,0
1984,Europe,Portugal,2.46
1986,Africa,Liberia,3.82
1986,Americas,Dominican Republic,0.06
1985,Americas,Colombia,0
1989,Americas,Dominican Republic,1.54
1984,Europe,Netherlands,5.21
1985,Africa,Seychelles,2.21
1986,Africa,Angola,0
1986,Africa,Central African Republic,0.36
1986,Americas,Saint Lucia,6.62
1989,Americas,Mexico,1.48
1986,Western Pacific,Malaysia,
1986,South-East Asia,Democratic People's Republic of Korea,
1985,Americas,Canada,4.94
1989,Europe,Portugal,0.92
1989,Africa,Benin,0.09
1989,Europe,Ukraine,2.68
1989,Americas,El Salvador,0.81
1986,Europe,Czech Republic,
1984,Africa,Burkina Faso,0.03
1986,South-East Asia,Thailand,0
1986,Europe,Israel,0.72
1986,Europe,Israel,0.61
1986,Africa,Botswana,0.23
1986,Americas,Honduras,0.02
1989,Western Pacific,Philippines,0
1986,Africa,Rwanda,5.95
1985,Europe,Kyrgyzstan,0
1984,South-East Asia,India,0
1986,Europe,France,0.25
1984,Western Pacific,Australia,0
1987,Americas,Cuba,2.39
1989,Europe,Netherlands,2.35
1985,Europe,Russian Federation,1.65
1986,Africa,Mauritius,0
1987,Americas,Argentina,10.1
1984,Africa,Lesotho,1.49
1987,Americas,Canada,1.3
1984,Europe,Russian Federation,1.55
1986,Africa,Niger,0
1989,Africa,Mozambique,0.17
1987,Eastern Mediterranean,Yemen,
1989,Africa,Angola,0.82
1989,Africa,Togo,0.02
1987,South-East Asia,Thailand,2.45
1987,Americas,Bolivia (Plurinational State of),0.1
1985,Europe,Malta,1.17
1989,South-East Asia,Democratic People's Republic of Korea,
1986,Americas,Bolivia (Plurinational State of),0.09
1985,Americas,Venezuela (Bolivarian Republic of),4.04
1986,Africa,Guinea,
1985,Africa,Zimbabwe,0.04
1987,Americas,Peru,3.45
1987,Eastern Mediterranean,Egypt,
1984,Europe,Poland,1.78
1986,Europe,United Kingdom of Great Britain and Northern Ireland,0
1987,Europe,Italy,
1987,Americas,Venezuela (Bolivarian Republic of),0.14
1989,Europe,Portugal,0.72
1986,Europe,Malta,2.03
1987,South-East Asia,Sri Lanka,0
1989,Americas,Cuba,2.45
1989,Europe,Netherlands,2.45
1987,Africa,Botswana,1.66
1989,South-East Asia,Nepal,0
1989,Africa,Togo,0.29
1989,Western Pacific,Singapore,0.51
1987,Americas,Suriname,1.12
1989,Europe,Slovenia,2.69
1989,Europe,Lithuania,
1986,Europe,Spain,6.65
1987,Americas,Trinidad and Tobago,2.03
1986,Europe,Greece,2.2
1989,Americas,Peru,0
1989,Americas,Nicaragua,0.7
1984,Africa,Botswana,1.77
1986,Americas,United States of America,5.07
1986,Eastern Mediterranean,Morocco,0.06
1987,Europe,Turkey,0.48
1985,Western Pacific,Philippines,0
1989,Americas,Ecuador,1.59
1987,Africa,Burundi,0
1984,Europe,Latvia,2.59
1984,Europe,Malta,1.26
1986,Americas,Uruguay,1.38
1984,Africa,Mali,0.01
1986,Western Pacific,Mongolia,0
1984,Europe,Bulgaria,3.28
1984,South-East Asia,Democratic People's Republic of Korea,
1985,Western Pacific,Malaysia,0.02
1989,Africa,Swaziland,0
1989,Europe,Sweden,2.25
1987,Eastern Mediterranean,United Arab Emirates,0
1985,Western Pacific,Australia,0
1986,Africa,Seychelles,0.62
1985,Eastern Mediterranean,Qatar,0.12
1986,Africa,Swaziland,1.32
1985,Africa,Seychelles,0.63
1985,Western Pacific,Kiribati,0.04
1984,Africa,Eritrea,0.16
1989,Western Pacific,Singapore,0.06
1985,Africa,Guinea-Bissau,0.79
1989,Western Pacific,Malaysia,0.16
1985,Africa,United Republic of Tanzania,0
1986,South-East Asia,Democratic People's Republic of Korea,0
1984,Europe,Italy,11.2
1989,Europe,Bulgaria,0
1989,Africa,Niger,0.08
1984,Africa,Liberia,
1989,Americas,Trinidad and Tobago,2.32
1985,Africa,Liberia,0.02
1984,Americas,Ecuador,0
1986,Africa,Guinea-Bissau,0.04
1986,Americas,Venezuela (Bolivarian Republic of),3.7
1985,Americas,Jamaica,1
1985,Africa,Togo,2.07
1989,Western Pacific,Cambodia,0
1989,Africa,Democratic Republic of the Congo,1.66
1986,Europe,Iceland,1.03
1984,Europe,Finland,0.85
1984,Africa,Zimbabwe,0.05
1985,Africa,Comoros,0.05
1984,Europe,Iceland,1.17
1984,Africa,South Africa,1.84
1989,Western Pacific,Australia,0
1985,Eastern Mediterranean,Bahrain,1.26
1986,Europe,Netherlands,2.72
1987,Americas,Dominican Republic,0.03
1985,Eastern Mediterranean,Somalia,0
1986,Africa,Benin,0.12
1989,Europe,Finland,1.8
1987,Americas,Mexico,3.05
1985,Western Pacific,China,0.02
1986,Eastern Mediterranean,Kuwait,
1984,Americas,United States of America,
1989,Americas,Peru,0.11
1989,Europe,Cyprus,3.49
1986,South-East Asia,Bhutan,0
1989,Africa,Mali,0.58
1989,Africa,Burkina Faso,0.01
1986,Western Pacific,China,0.24
1984,Americas,Belize,0.15
1986,Americas,Ecuador,1.08
1986,Americas,Chile,5.14
1985,Europe,Germany,3.66
1984,Africa,Niger,0.11
1986,Europe,Austria,1.8
1985,Americas,Antigua and Barbuda,1.69
1986,Europe,Cyprus,0
1986,Africa,Cameroon,0.08
1984,Eastern Mediterranean,Sudan,0
1986,Western Pacific,Mongolia,2.47
1985,Americas,Ecuador,1.05
1985,Eastern Mediterranean,Djibouti,0.52
1987,Africa,Kenya,0.59
1989,Eastern Mediterranean,Iraq,0
1984,Americas,Nicaragua,2.32
1984,Europe,Portugal,13.5
1984,Africa,Algeria,0
1986,Europe,Norway,0.83
1987,Africa,Mauritania,0
1985,Africa,Sierra Leone,0.01
1984,Western Pacific,Cambodia,0
1989,Americas,Antigua and Barbuda,1.83
1984,Americas,Dominican Republic,2.53
1984,Eastern Mediterranean,United Arab Emirates,0
1987,Americas,Panama,3.19
1985,Americas,Guatemala,0
1989,Eastern Mediterranean,Syrian Arab Republic,0.07
1984,Africa,Rwanda,0.01
1987,South-East Asia,India,0.01
1987,Americas,El Salvador,0.9
1987,Africa,Cameroon,3.97
1986,Africa,Central African Republic,1.14
1989,Americas,Antigua and Barbuda,1.56
1989,Americas,Ecuador,0.92
1984,Africa,Botswana,0.95
1989,Eastern Mediterranean,Pakistan,0
1985,Eastern Mediterranean,Iran (Islamic Republic of),0
1984,Americas,Belize,1.65
1986,Africa,Democratic Republic of the Congo,0
1984,Western Pacific,Brunei Darussalam,0.94
1984,Africa,Eritrea,0.39
1986,Eastern Mediterranean,Afghanistan,0
1987,Europe,Hungary,3.32
1989,Americas,Colombia,0
1989,Americas,Saint Lucia,2.36
1989,Europe,Hungary,3.44
1986,Eastern Mediterranean,Iraq,0
1989,Europe,France,0.27
1984,Americas,Venezuela (Bolivarian Republic of),5.27
1984,Europe,Germany,3.7
1989,South-East Asia,Democratic People's Republic of Korea,3.34
1986,Eastern Mediterranean,Somalia,0
1987,Africa,Mauritius,1.57
1987,Eastern Mediterranean,Qatar,1.3
1989,Americas,Saint Lucia,0.09
1989,Western Pacific,Malaysia,0.52
1989,Americas,Brazil,2.89
1987,Americas,Uruguay,1.41
1985,Western Pacific,Micronesia (Federated States of),0
1987,Americas,Trinidad and Tobago,0
1984,Africa,Liberia,2.96
1984,Europe,Netherlands,2.95
1987,Western Pacific,Papua New Guinea,0.04
1989,Eastern Mediterranean,Morocco,0
1989,Eastern Mediterranean,Bahrain,0
1985,Western Pacific,Brunei Darussalam,0.51
1984,Western Pacific,Lao People's Democratic Republic,
1989,Africa,Algeria,0.16
1989,Europe,Israel,0
1984,Africa,Madagascar,0.8
1989,Europe,Malta,3.08
1984,Africa,Zimbabwe,5.68
1985,Africa,Guinea,0
1986,Africa,Malawi,0
1986,Eastern Mediterranean,Yemen,0.06
1985,Eastern Mediterranean,Sudan,0
1986,Africa,Kenya,0.85
1986,Africa,South Africa,2.06
1989,Europe,Greece,0.07
1985,Africa,Cabo Verde,0.46
1987,Western Pacific,Brunei Darussalam,2.5
1986,Africa,Namibia,0
1986,Eastern Mediterranean,Egypt,
1989,Western Pacific,Lao People's Democratic Republic,1.13
1984,South-East Asia,Myanmar,0.28
1984,Africa,Guinea-Bissau,0.8
1987,Americas,United States of America,
1989,Europe,Croatia,2.95
1989,Europe,Turkey,0.07
1984,Western Pacific,Philippines,2.83
1987,Americas,Guatemala,0.82
1987,Africa,Central African Republic,1.15
